Trip,Date/Time,Latitude,Longitude,Heading,Speed (kph),Ignition,Type,New_Track
5327216789,01/11/2016 5:34,5.5978,-0.203,233,0,Yes,T,1
5327216789,01/11/2016 5:35,5.59755,-0.20314,233,0,Yes,T,0
5327216789,01/11/2016 5:38,5.59748,-0.20284,128,0,Yes,T,0
5327216789,01/11/2016 5:38,5.59739,-0.20267,211,13,Yes,T,0
5327216789,01/11/2016 5:39,5.59692,-0.20305,221,33,Yes,T,0
5327216789,01/11/2016 5:39,5.5962,-0.20355,140,9,Yes,T,0
5327216789,01/11/2016 5:40,5.5953,-0.20257,132,15,Yes,T,0
5327216789,01/11/2016 5:40,5.5949,-0.20203,64,18,Yes,T,0
5327216789,01/11/2016 5:40,5.59576,-0.20073,137,17,Yes,T,0
5327216789,01/11/2016 5:41,5.59527,-0.2004,123,25,Yes,T,0
5327216789,01/11/2016 5:41,5.59513,-0.20014,112,15,Yes,T,0
5327216789,01/11/2016 5:41,5.59511,-0.19982,81,21,Yes,T,0
5327216789,01/11/2016 5:41,5.59585,-0.19813,47,24,Yes,T,0
5327216789,01/11/2016 5:42,5.59647,-0.19775,11,5,Yes,T,0
5327216789,01/11/2016 5:42,5.59684,-0.1978,32,15,Yes,T,0
5327216789,01/11/2016 5:43,5.5986,-0.19662,33,15,Yes,T,0
5327216789,01/11/2016 5:43,5.5991,-0.19624,92,10,Yes,T,0
5327216789,01/11/2016 5:44,5.59802,-0.1946,129,15,Yes,T,0
5327216789,01/11/2016 5:44,5.59787,-0.19415,48,22,Yes,T,0
5327216789,01/11/2016 5:44,5.59837,-0.19372,71,0,Yes,T,0
5327216789,01/11/2016 5:44,5.59827,-0.19348,123,31,Yes,T,0
5327216789,01/11/2016 5:45,5.59644,-0.19078,127,47,Yes,T,0
5327216789,01/11/2016 5:46,5.59149,-0.18338,153,63,Yes,T,0
5327216789,01/11/2016 5:47,5.58929,-0.18227,137,0,Yes,T,0
5327216789,01/11/2016 5:47,5.58918,-0.1821,127,32,Yes,T,0
5327216789,01/11/2016 5:48,5.58769,-0.1761,116,17,Yes,T,0
5327216789,01/11/2016 5:48,5.58769,-0.1761,116,17,Yes,T,0
5327216789,01/11/2016 5:48,5.58753,-0.17596,161,21,Yes,T,0
5327216789,01/11/2016 5:48,5.58617,-0.17617,207,28,Yes,T,0
5327216789,01/11/2016 5:48,5.58605,-0.17634,255,30,Yes,T,0
5327216789,01/11/2016 5:48,5.5851,-0.1784,232,65,Yes,T,0
5327216789,01/11/2016 5:49,5.58344,-0.18062,233,74,Yes,T,0
5327216789,01/11/2016 5:49,5.57934,-0.18589,150,10,Yes,T,0
5327216789,01/11/2016 5:49,5.57927,-0.18569,138,9,Yes,T,0
5327216789,01/11/2016 5:50,5.57927,-0.1857,282,0,Yes,T,0
5327216789,01/11/2016 5:50,5.57931,-0.18573,282,0,No,T,0
5327311044,01/11/2016 6:10,5.57931,-0.18573,282,0,Yes,T,1
5327311044,01/11/2016 6:16,5.5791,-0.18566,113,20,Yes,T,0
5327311044,01/11/2016 6:16,5.57907,-0.18545,78,12,Yes,T,0
5327311044,01/11/2016 6:16,5.57936,-0.185,22,24,Yes,T,0
5327311044,01/11/2016 6:16,5.57953,-0.18507,326,29,Yes,T,0
5327311044,01/11/2016 6:16,5.57989,-0.18527,4,11,Yes,T,0
5327311044,01/11/2016 6:17,5.58149,-0.18316,54,73,Yes,T,0
5327311044,01/11/2016 6:17,5.5823,-0.18216,12,15,Yes,T,0
5327311044,01/11/2016 6:18,5.58623,-0.18283,330,36,Yes,T,0
5327311044,01/11/2016 6:18,5.58692,-0.18332,20,23,Yes,T,0
5327311044,01/11/2016 6:19,5.58882,-0.18199,36,20,Yes,T,0
5327311044,01/11/2016 6:19,5.59214,-0.18063,12,51,Yes,T,0
5327311044,01/11/2016 6:20,5.59682,-0.17959,12,78,Yes,T,0
5327311044,01/11/2016 6:21,5.59919,-0.17905,13,17,Yes,T,0
5327311044,01/11/2016 6:22,5.60488,-0.17777,17,0,Yes,T,0
5327311044,01/11/2016 6:23,5.61192,-0.17624,11,87,Yes,T,0
5327311044,01/11/2016 6:24,5.62046,-0.17615,3,18,Yes,T,0
5327311044,01/11/2016 6:25,5.6209,-0.17613,6,0,Yes,T,0
5327311044,01/11/2016 6:26,5.625,-0.17639,359,71,Yes,T,0
5327311044,01/11/2016 6:27,5.62852,-0.17655,355,39,Yes,T,0
5327311044,01/11/2016 6:28,5.63826,-0.17758,351,53,Yes,T,0
5327311044,01/11/2016 6:29,5.6396,-0.17782,349,0,Yes,T,0
5327311044,01/11/2016 6:30,5.64028,-0.17794,349,33,Yes,T,0
5327311044,01/11/2016 6:30,5.64165,-0.17818,10,5,Yes,T,0
5327311044,01/11/2016 6:31,5.64183,-0.17822,349,25,Yes,T,0
5327311044,01/11/2016 6:32,5.65198,-0.18031,348,82,Yes,T,0
5327311044,01/11/2016 6:32,5.65444,-0.18039,8,84,Yes,T,0
5327311044,01/11/2016 6:32,5.65943,-0.17864,15,20,Yes,T,0
5327311044,01/11/2016 6:33,5.65951,-0.17862,15,0,Yes,T,0
5327311044,01/11/2016 6:34,5.66224,-0.17805,12,77,Yes,T,0
5327311044,01/11/2016 6:35,5.66738,-0.1769,341,14,Yes,T,0
5327311044,01/11/2016 6:35,5.66755,-0.17712,297,20,Yes,T,0
5327311044,01/11/2016 6:35,5.66748,-0.17729,236,24,Yes,T,0
5327311044,01/11/2016 6:35,5.66731,-0.17763,273,22,Yes,T,0
5327311044,01/11/2016 6:35,5.66754,-0.17759,20,13,Yes,T,0
5327311044,01/11/2016 6:36,5.66739,-0.17779,208,0,Yes,T,0
5327311044,01/11/2016 6:37,5.66734,-0.18327,270,42,Yes,T,0
5327311044,01/11/2016 6:38,5.66737,-0.19013,269,48,Yes,T,0
5327311044,01/11/2016 6:39,5.66741,-0.19601,271,18,Yes,T,0
5327311044,01/11/2016 6:40,5.66745,-0.1998,271,39,Yes,T,0
5327311044,01/11/2016 6:41,5.66748,-0.20472,269,9,Yes,T,0
5327311044,01/11/2016 6:41,5.66749,-0.20524,276,19,Yes,T,0
5327311044,01/11/2016 6:42,5.66749,-0.20594,268,22,Yes,T,0
5327311044,01/11/2016 6:43,5.66754,-0.21271,270,55,Yes,T,0
5327311044,01/11/2016 6:44,5.66759,-0.21947,270,57,Yes,T,0
5327311044,01/11/2016 6:45,5.66764,-0.22732,270,58,Yes,T,0
5327311044,01/11/2016 6:46,5.66769,-0.23338,269,46,Yes,T,0
5327311044,01/11/2016 6:47,5.6677,-0.23867,275,8,Yes,T,0
5327311044,01/11/2016 6:47,5.66805,-0.23892,357,13,Yes,T,0
5327311044,01/11/2016 6:47,5.66851,-0.23885,38,5,Yes,T,0
5327311044,01/11/2016 6:48,5.66859,-0.23884,14,0,Yes,T,0
5327311044,01/11/2016 6:57,5.67176,-0.23886,0,45,Yes,T,0
5327311044,01/11/2016 6:58,5.67778,-0.23888,350,33,Yes,T,0
5327311044,01/11/2016 6:58,5.68016,-0.2399,329,39,Yes,T,0
5327311044,01/11/2016 6:58,5.68127,-0.24044,303,16,Yes,T,0
5327311044,01/11/2016 6:59,5.68215,-0.24144,309,47,Yes,T,0
5327311044,01/11/2016 7:00,5.68649,-0.24582,330,22,Yes,T,0
5327311044,01/11/2016 7:00,5.68782,-0.24673,335,21,Yes,T,0
5327311044,01/11/2016 7:01,5.6892,-0.24724,335,19,Yes,T,0
5327311044,01/11/2016 7:02,5.69084,-0.24795,340,6,Yes,T,0
5327311044,01/11/2016 7:03,5.69207,-0.24829,348,20,Yes,T,0
5327311044,01/11/2016 7:03,5.69468,-0.24864,5,29,Yes,T,0
5327311044,01/11/2016 7:04,5.69537,-0.24851,17,16,Yes,T,0
5327311044,01/11/2016 7:05,5.69554,-0.24843,16,0,Yes,T,0
5327311044,01/11/2016 7:07,5.69864,-0.24793,10,24,Yes,T,0
5327311044,01/11/2016 7:08,5.70138,-0.24728,19,25,Yes,T,0
5327311044,01/11/2016 7:09,5.70429,-0.24645,11,20,Yes,T,0
5327311044,01/11/2016 7:10,5.70772,-0.24587,12,10,Yes,T,0
5327311044,01/11/2016 7:11,5.71131,-0.24523,5,25,Yes,T,0
5327311044,01/11/2016 7:12,5.71524,-0.24447,14,29,Yes,T,0
5327311044,01/11/2016 7:13,5.71837,-0.24385,23,23,Yes,T,0
5327311044,01/11/2016 7:13,5.72046,-0.24279,37,25,Yes,T,0
5327311044,01/11/2016 7:14,5.72104,-0.24241,34,0,Yes,T,0
5327311044,01/11/2016 7:14,5.72371,-0.24146,357,63,Yes,T,0
5327311044,01/11/2016 7:15,5.72576,-0.24182,352,67,Yes,T,0
5327311044,01/11/2016 7:16,5.73036,-0.24152,5,0,Yes,T,0
5327311044,01/11/2016 7:16,5.73355,-0.24126,17,50,Yes,T,0
5327311044,01/11/2016 7:17,5.73545,-0.24021,33,64,Yes,T,0
5327311044,01/11/2016 7:18,5.7413,-0.23624,25,47,Yes,T,0
5327311044,01/11/2016 7:18,5.74443,-0.23451,49,62,Yes,T,0
5327311044,01/11/2016 7:18,5.74753,-0.23151,20,58,Yes,T,0
5327311044,01/11/2016 7:19,5.74876,-0.23111,19,58,Yes,T,0
5327311044,01/11/2016 7:20,5.75335,-0.2299,7,38,Yes,T,0
5327311044,01/11/2016 7:21,5.7574,-0.22857,23,0,Yes,T,0
5327311044,01/11/2016 7:21,5.75868,-0.22786,48,16,Yes,T,0
5327311044,01/11/2016 7:21,5.75895,-0.22734,83,32,Yes,T,0
5327311044,01/11/2016 7:22,5.7592,-0.2263,55,19,Yes,T,0
5327311044,01/11/2016 7:22,5.76058,-0.22484,26,18,Yes,T,0
5327311044,01/11/2016 7:23,5.7617,-0.22398,37,30,Yes,T,0
5327311044,01/11/2016 7:24,5.76566,-0.22118,39,9,Yes,T,0
5327311044,01/11/2016 7:24,5.76584,-0.21957,113,23,Yes,T,0
5327311044,01/11/2016 7:25,5.76479,-0.21849,143,23,Yes,T,0
5327311044,01/11/2016 7:25,5.76396,-0.21816,180,24,Yes,T,0
5327311044,01/11/2016 7:26,5.76034,-0.21982,229,40,Yes,T,0
5327311044,01/11/2016 7:26,5.7602,-0.22012,252,46,Yes,T,0
5327311044,01/11/2016 7:26,5.75975,-0.22089,185,11,Yes,T,0
5327311044,01/11/2016 7:26,5.7596,-0.22057,78,14,Yes,T,0
5327311044,01/11/2016 7:27,5.7597,-0.22049,29,0,Yes,T,0
5327311044,01/11/2016 7:28,5.76009,-0.22033,348,11,Yes,T,0
5327311044,01/11/2016 7:28,5.75986,-0.22079,226,30,Yes,T,0
